计算元件基本参数及相互连接关系文件											
元件个数（上下游边界不算做计算元件）											
291											
各类型个数											
渠道	渐变段	倒虹吸	节制闸	分水口							
129	107	17	13	25							
整体编号	类型代码	局部编号									
1	5	1									
2	6	1									
3	5	2									
4	7	1									
5	5	3									
6	7	2									
7	5	4									
8	7	3									
9	5	5									
10	7	4									
11	5	6									
12	4	1									
13	5	7									
14	7	5									
15	10	1									
16	6	2									
17	5	8									
18	7	6									
19	5	9									
20	4	2									
21	5	10									
22	7	7									
23	5	11									
24	7	8									
25	5	12									
26	4	3									
27	5	13									
28	7	9									
29	5	14									
30	7	10									
31	5	15									
32	7	11									
33	10	2									
34	6	3									
35	5	16									
36	7	12									
37	5	17									
38	7	13									
39	5	18									
40	4	4									
41	5	19									
42	7	14									
43	5	20									
44	4	5									
45	5	21									
46	7	15									
47	10	3									
48	6	4									
49	5	22									
50	7	16									
51	5	23									
52	7	17									
53	5	24									
54	7	18									
55	5	25									
56	7	19									
57	5	26									
58	4	6									
59	5	27									
60	7	20									
61	10	4									
62	7	21									
63	5	28									
64	4	7									
65	5	29									
66	7	22									
67	10	5									
68	6	5									
69	5	30									
70	7	23									
71	5	31									
72	4	8									
73	5	32									
74	7	24									
75	10	6									
76	6	6									
77	5	33									
78	7	25									
79	5	34									
80	7	26									
81	5	35									
82	7	27									
83	5	36									
84	4	9									
85	5	37									
86	4	10									
87	5	38									
88	7	28									
89	5	39									
90	6	7									
91	5	40									
92	7	29									
93	5	41									
94	4	11									
95	5	42									
96	7	30									
97	5	43									
98	4	12									
99	5	44									
100	7	31									
101	5	45									
102	7	32									
103	5	46									
104	7	33									
105	5	47									
106	4	13									
107	5	48									
108	7	34									
109	10	7									
110	6	8									
111	5	49									
112	7	35									
113	5	50									
114	7	36									
115	5	51									
116	7	37									
117	5	52									
118	7	38									
119	5	53									
120	7	39									
121	5	54									
122	7	40									
123	5	55									
124	7	41									
125	5	56									
126	7	42									
127	5	57									
128	7	43									
129	5	58									
130	4	14									
131	5	59									
132	7	44									
133	10	8									
134	7	45									
135	5	60									
136	7	46									
137	5	61									
138	7	47									
139	5	62									
140	4	15									
141	5	63									
142	7	48									
