断面水位  断面流量
  4.755    54.850
  4.747    54.842
  4.747    54.842
  4.720    54.813
  4.692    54.784
  4.664    54.757
  4.637    54.729
  4.610    54.702
  4.583    54.674
  4.556    54.647
  4.529    54.622
  6.255    54.622
  6.256    54.620
  6.917    54.620
  7.926    54.620
  4.974    54.620
  4.975    54.585
  4.975    57.622
  4.975    57.619
  7.188    57.619
  8.171    57.619
  4.785    57.619
  4.753    57.571
  4.720    57.524
  4.688    57.484
  4.656    57.441
  4.624    57.405
  4.624    57.640
  4.596    57.608
  4.567    57.575
  4.539    57.544
  4.510    57.515
  4.496    57.515
  4.340    57.513
  4.355    57.513
  4.329    57.483
  4.302    57.455
  4.276    57.421
  4.249    57.392
  4.223    57.358
  4.197    57.329
  4.171    57.301
  4.145    57.272
  4.120    57.246
  4.095    57.219
  4.093    57.219
  4.070    57.199
  4.047    57.176
  6.276    57.176
  6.276    57.176
  7.217    57.176
  7.915    57.176
  4.296    57.176
  4.295    57.174
  4.295    57.174
  4.265    57.165
  4.236    57.156
  4.208    57.142
  4.179    57.126
  4.181    57.126
  4.157    57.120
  4.134    57.108
  4.111    57.097
  4.088    57.084
  4.065    57.078
  4.065    57.394
  4.058    57.393
  4.056    57.393
  4.032    57.380
  4.008    57.373
  3.984    57.366
  3.960    57.358
  3.937    57.348
  3.914    57.341
  6.071    57.341
  6.071    57.340
  7.129    57.340
  8.280    57.340
  4.746    57.340
  4.713    57.335
  4.680    57.329
  4.648    57.323
  4.646    57.323
  4.596    57.316
  4.598    57.316
  4.571    57.312
  4.545    57.307
  4.518    57.300
  4.492    57.298
  4.466    57.291
  4.466    57.291
  4.433    57.284
  4.401    57.279
  4.370    57.273
  4.338    57.264
  4.335    57.264
  4.312    57.261
  4.288    57.258
  4.265    57.252
  4.269    57.252
  4.242    57.243
  4.216    57.239
  4.190    57.235
  4.164    57.229
  4.164    57.887
  4.136    57.883
  4.108    57.873
  4.080    57.866
  4.052    57.859
  6.250    57.859
  6.251    57.857
  7.118    57.857
  7.836    57.857
  5.177    57.857
  5.128    57.855
  5.128    74.855
  5.099    74.818
  5.071    74.780
  5.043    74.745
  5.015    74.708
  4.987    74.671
  4.985    74.671
  4.953    74.628
  4.881    74.628
  4.861    74.625
  4.883    74.625
  4.848    74.590
  4.734    74.590
  4.682    74.584
  6.071    74.584
  6.107    74.544
