  断面序号         里程      水深      流量      流速      水位    总水头
     1          969.379     6.123    74.940     0.874    76.526    76.565
     2          970.379     6.087    74.940     0.879    76.490    76.529
     3          970.379     4.669    74.940     0.811    75.072    75.105
     4          970.888     4.720    74.940     0.802    75.057    75.089
     5          970.948     4.833    74.940     0.452    75.077    75.087
     6          971.781     4.868    74.940     0.448    75.070    75.080
     7          971.851     4.845    74.940     0.781    75.047    75.078
     8          972.001     4.865    74.940     0.778    75.044    75.075
     9          972.085     4.937    74.940     0.587    75.055    75.072
    10          973.320     4.968    74.940     0.582    75.035    75.052
    11          973.330     4.969    74.940     0.531    75.036    75.050
    12          977.801     5.109    74.940     0.509    74.979    74.992
    13          977.801     5.112    57.940     0.447    74.982    74.992
    14          977.851     5.161    57.940     0.441    74.982    74.992
    15          978.198     7.821    57.940     0.412    74.982    74.991
    16          980.116     7.103    57.940     0.453    74.890    74.900
    17          980.116     6.226    57.940     0.517    74.013    74.027
    18          980.263     6.224    57.940     0.517    74.011    74.025
    19          980.353     4.027    57.940     0.443    74.014    74.024
    20          983.866     4.137    57.940     0.427    73.978    73.987
    21          983.966     4.138    57.330     0.415    73.979    73.987
    22          987.211     4.242    57.330     0.401    73.951    73.959
    23          987.231     4.237    57.330     0.475    73.946    73.958
    24          989.591     4.307    57.330     0.465    73.921    73.932
    25          989.611     4.309    57.330     0.388    73.923    73.931
    26          993.346     4.436    57.330     0.374    73.898    73.905
    27          993.346     4.435    57.330     0.397    73.897    73.905
    28          997.411     4.567    57.330     0.381    73.869    73.876
    29          997.421     4.565    57.330     0.410    73.867    73.875
    30          998.891     4.614    57.330     0.404    73.856    73.864
    31          998.911     4.615    57.330     0.355    73.857    73.864
    32         1001.733     4.713    57.330     0.345    73.842    73.848
    33         1001.796     8.250    57.330     0.386    73.840    73.848
    34         1002.169     7.099    57.330     0.449    73.820    73.830
    35         1002.169     6.044    57.330     0.527    72.765    72.779
    36         1002.254     6.043    57.330     0.527    72.764    72.778
    37         1002.312     3.886    57.330     0.490    72.765    72.777
    38         1007.130     4.027    57.330     0.467    72.705    72.716
    39         1007.330     4.028    57.330     0.424    72.706    72.715
    40         1007.496     4.035    57.330     0.423    72.704    72.714
    41         1007.496     4.035    57.100     0.441    72.704    72.714
    42         1011.410     4.149    57.100     0.424    72.664    72.673
    43         1011.420     4.147    57.100     0.453    72.662    72.672
    44         1015.126     4.262    57.100     0.437    72.625    72.634
    45         1015.126     4.262    57.100     0.417    72.625    72.634
    46         1015.275     4.264    57.100     0.416    72.624    72.633
    47         1015.350     7.884    57.100     0.402    72.624    72.632
    48         1017.385     7.186    57.100     0.441    72.530    72.540
    49         1017.385     6.150    57.100     0.516    71.494    71.508
    50         1017.430     6.150    57.100     0.516    71.494    71.507
    51         1017.490     3.920    57.100     0.482    71.494    71.506
    52         1019.095     3.964    57.100     0.475    71.474    71.486
    53         1019.115     3.965    57.100     0.431    71.475    71.485
    54         1027.279     4.218    57.100     0.396    71.401    71.409
    55         1027.319     4.200    57.100     0.697    71.383    71.408
    56         1027.420     4.356    57.100     0.672    71.382    71.406
    57         1027.475     4.370    57.100     0.397    71.396    71.404
    58         1030.769     4.481    57.100     0.384    71.372    71.380
    59         1030.769     4.481    56.790     0.388    71.372    71.380
    60         1035.575     4.640    56.790     0.370    71.341    71.348
    61         1035.645     8.028    56.790     0.393    71.339    71.347
    62         1035.955     7.045    56.790     0.448    71.324    71.335
    63         1035.975     4.811    56.790     0.362    71.327    71.334
    64         1036.023     4.812    56.790     0.362    71.327    71.333
    65         1036.023     4.812    54.570     0.354    71.327    71.333
    66         1036.756     4.810    54.570     0.354    71.323    71.329
    67         1036.811     7.765    54.570     0.426    71.319    71.329
    68         1036.963     6.756    54.570     0.490    71.310    71.322
    69         1036.963     5.999    54.570     0.551    70.553    70.569
    70         1037.053     5.998    54.570     0.551    70.552    70.568
    71         1037.987     4.272    54.570     0.459    70.556    70.566
    72         1044.822     4.475    54.570     0.429    70.483    70.492
    73         1044.822     4.475    54.570     0.429    70.483    70.492
    74         1045.131     4.482    54.570     0.428    70.480    70.489
