断面水深  断面流量
  4.482    54.570
  4.475    54.570
  4.475    54.570
  4.449    54.570
  4.423    54.570
  4.397    54.570
  4.372    54.570
  4.346    54.570
  4.321    54.570
  4.296    54.570
  4.272    54.570
  5.998    54.570
  5.999    54.570
  6.756    54.570
  7.765    54.570
  4.810    54.570
  4.812    54.570
  4.812    54.570
  4.811    56.790
  7.045    56.790
  8.028    56.790
  4.640    56.790
  4.608    56.790
  4.576    56.790
  4.544    56.790
  4.512    56.790
  4.481    56.790
  4.481    56.790
  4.453    57.100
  4.425    57.100
  4.397    57.100
  4.370    57.100
  4.356    57.100
  4.200    57.100
  4.218    57.100
  4.192    57.100
  4.166    57.100
  4.141    57.100
  4.115    57.100
  4.090    57.100
  4.064    57.100
  4.039    57.100
  4.014    57.100
  3.990    57.100
  3.965    57.100
  3.964    57.100
  3.942    57.100
  3.920    57.100
  6.150    57.100
  6.150    57.100
  7.186    57.100
  7.884    57.100
  4.264    57.100
  4.262    57.100
  4.262    57.100
  4.233    57.100
  4.204    57.100
  4.175    57.100
  4.147    57.100
  4.149    57.100
  4.126    57.100
  4.103    57.100
  4.080    57.100
  4.057    57.100
  4.035    57.100
  4.035    57.100
  4.028    57.330
  4.027    57.330
  4.003    57.330
  3.979    57.330
  3.955    57.330
  3.932    57.330
  3.909    57.330
  3.886    57.330
  6.043    57.330
  6.044    57.330
  7.099    57.330
  8.250    57.330
  4.713    57.330
  4.681    57.330
  4.648    57.330
  4.615    57.330
  4.614    57.330
  4.565    57.330
  4.567    57.330
  4.540    57.330
  4.514    57.330
  4.488    57.330
  4.461    57.330
  4.435    57.330
  4.436    57.330
  4.404    57.330
  4.372    57.330
  4.341    57.330
  4.309    57.330
  4.307    57.330
  4.284    57.330
  4.260    57.330
  4.237    57.330
  4.242    57.330
  4.215    57.330
  4.189    57.330
  4.163    57.330
  4.138    57.330
  4.137    57.330
  4.109    57.940
  4.081    57.940
  4.054    57.940
  4.027    57.940
  6.224    57.940
  6.226    57.940
  7.103    57.940
  7.821    57.940
  5.161    57.940
  5.112    57.940
  5.109    57.940
  5.080    74.940
  5.052    74.940
  5.024    74.940
  4.996    74.940
  4.969    74.940
  4.968    74.940
  4.937    74.940
  4.865    74.940
  4.845    74.940
  4.868    74.940
  4.833    74.940
  4.720    74.940
  4.669    74.940
  6.087    74.940
  6.123    74.940
