时间片（11天）,F1-肖楼分水口,T1-刁河退水闸,F2-望城岗分水口,T2-湍河退水闸,F3-彭家分水口,T3-严陵河退水闸,F4-谭寨分水口,T4-潦河退水闸,F5-姜沟分水口,F6-田洼分水口,F7-大寨分水口,T5-白河退水闸,F8-半坡店分水口,T6-清河退水闸,F9-大营分水口,F10-十里庙分水口,T7-贾河退水闸,F11-辛庄分水口,T8-澧河退水闸,T9-澎河退水闸,F12-澎河分水口,T10-沙河退水闸,F13-张村分水口,F14-马庄分水口,F15-高庄分水口,T11-北汝河退水闸,F16-赵庄分水口,T12兰河退水闸,F17-宴窑分水口,F18-任坡分水口,T13-颖河退水闸,F19-孟坡分水口,F20-洼李分水口,T14-沂水河退水闸,T15-双洎河退水闸,F21-李垌分水口,F22-小河刘分水口,T16-十八里河退水闸,F23-刘湾分水口,F24-密垌分水口,T17-贾峪河退水闸,F25-中原西路分水口,F26-前蒋寨分水口,T18-索河退水闸,F27-上街分水口,T19-黄河退水闸,F28-北冷分水口,F29-北石涧分水口,F30-府城分水口,T20-闫河退水闸,T21-李河退水闸,F31-苏蔺分水口,T22-溃城寨河退水闸,F32-白庄分水口,F33-郭屯分水口,T23-峪河退水闸,T24-黄水河支退水闸,F34-路固分水口,T25-孟坟河退水闸,F35-老道井分水口,F36-温寺门分水口,T26-香泉河退水闸,F37-袁庄分水口,F38-三里屯分水口,T27-淇河退水闸,F39-鹤壁刘庄分水口,F40-董庄分水口,T28-汤河退水闸,F41-小营分水口,F42-南流寺分水口,T29-安阳河退水闸,T30-漳河退水闸,FF-民有渠分水口,T31-滏阳河退水闸,F43-于家店分水口,T32-牤牛河南支退水闸,F44-白村分水口,F45-下庄分水口,F46-郭河分水口,T33-沁河退水闸,F47-三陵分水口,F48-吴庄分水口,T34-洺河退水闸,F49-赞善分水口,F50-邓家庄分水口,T35-七里河退水闸,F51-南大郭分水口,T36-白马河退水闸,F52-刘家庄分水口,T37-李阳河退水闸,T38-泜河退水闸,F53-北盘石分水口,F54-黑沙村分水口,T39-午河退水闸,F55-泲河分水口,F56-北马分水口,T40-槐河(一)退水闸,F57-赵同分水口,F58-万年分水口,T41-洨河退水闸,F59+F60-上庄分水口+新增,F61-南新城分水口,F62-田庄分水口,T42-滹沱河退水闸,F63-永安分水口,T43-磁河古道退水闸,F64-西名分水口,T44-沙河(北)退水闸,F65-留营分水口,F66-中管头分水口,T45-唐河退水闸,F67-大寺城涧分水口,F68-高昌分水口,T46-曲逆中支退水闸,F69-塔坡分水口,T47-蒲阳河退水闸,T48-界河退水闸,F70-郑家佐分水口,T49-漕河退水闸,F71-徐水刘庄分水口,F86-F97-西黑山分水口,T50-瀑河退水闸,F72-荆柯山分水口,T51-北易水退水闸,F73-下车亭分水口,T52-水北沟退水闸,F74-三岔沟分水口,T53-北拒马退水闸,下游流量
0.0,13.65,0.0,0.93,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.45,5.0,0.93,20.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,2.0,0.0,0.0,0.73,3.0,0.39,0.0,0.26,0.9,2.0,3.43,0.33,1.0,3.0,1.63,1.52,1.0,4.04,0.0,0.0,6.65,0.67,2.0,0.0,0.0,0.18,0.41,0.0,5.0,0.0,0.22,0.0,0.0,0.25,0.0,0.0,0.0,0.0,2.69,0.84,0.0,0.45,6.01,5.0,0.67,0.68,0.35,1.17,0.0,7.0,0.0,0.0,6.0,0.0,0.0,1.0,0.75,0.0,0.0,0.0,0.68,0.0,2.35,0.0,2.0,0.0,0.0,0.0,1.0,10.0,0.0,0.31,3.0,0.0,0.0,0.0,0.0,0.62,0.0,0.24,0.32,18.2,2.0,0.88,0.0,0.18,8.0,0.06,1.87,0.0,0.45,2.0,0.0,0.05,0.0,0.0,0.43,0.0,0.0,45.92,12.0,0.22,10.0,0.64,0.0,3.19,0.5,44.13
1.0,13.65,0.0,0.93,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.45,5.0,0.93,20.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,2.0,0.0,0.0,0.73,3.0,0.39,0.0,0.26,0.9,2.0,3.43,0.33,1.0,3.0,1.63,1.52,1.0,4.04,0.0,0.0,6.65,0.67,2.0,0.0,0.0,0.18,0.41,0.0,5.0,0.0,0.22,0.0,0.0,0.25,0.0,0.0,0.0,0.0,2.69,0.84,0.0,0.45,6.01,5.0,0.67,0.68,0.35,1.17,0.0,7.0,0.0,0.0,6.0,0.0,0.0,1.0,0.75,0.0,0.0,0.0,0.68,0.0,2.35,0.0,2.0,0.0,0.0,0.0,1.0,10.0,0.0,0.31,3.0,0.0,0.0,0.0,0.0,0.62,0.0,0.24,0.32,18.2,2.0,0.88,0.0,0.18,8.0,0.06,1.87,0.0,0.45,2.0,0.0,0.05,0.0,0.0,0.43,0.0,0.0,45.92,12.0,0.22,10.0,0.64,0.0,3.19,0.5,44.13
2.0,13.65,0.0,0.93,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.45,5.0,0.93,20.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,2.0,0.0,0.0,0.73,3.0,0.39,0.0,0.26,0.9,2.0,3.43,0.33,1.0,3.0,1.63,1.52,1.0,4.04,0.0,0.0,6.65,0.67,2.0,0.0,0.0,0.18,0.41,0.0,5.0,0.0,0.22,0.0,0.0,0.25,0.0,0.0,0.0,0.0,2.69,0.84,0.0,0.45,6.01,5.0,0.67,0.68,0.35,1.17,0.0,7.0,0.0,0.0,6.0,0.0,0.0,1.0,0.75,0.0,0.0,0.0,0.68,0.0,2.35,0.0,2.0,0.0,0.0,0.0,1.0,10.0,0.0,0.31,3.0,0.0,0.0,0.0,0.0,0.62,0.0,0.24,0.32,18.2,2.0,0.88,0.0,0.18,8.0,0.06,1.87,0.0,0.45,2.0,0.0,0.05,0.0,0.0,0.43,0.0,0.0,45.92,12.0,0.22,10.0,0.64,0.0,3.19,0.5,44.13
3.0,13.65,0.0,0.93,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.45,5.0,0.93,20.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,2.0,0.0,0.0,0.73,3.0,0.39,0.0,0.26,0.9,2.0,3.43,0.33,1.0,3.0,1.63,1.52,1.0,4.04,0.0,0.0,6.65,0.67,2.0,0.0,0.0,0.18,0.41,0.0,5.0,0.0,0.22,0.0,0.0,0.25,0.0,0.0,0.0,0.0,2.69,0.84,0.0,0.45,6.01,5.0,0.67,0.68,0.35,1.17,0.0,7.0,0.0,0.0,6.0,0.0,0.0,1.0,0.75,0.0,0.0,0.0,0.68,0.0,2.35,0.0,2.0,0.0,0.0,0.0,1.0,10.0,0.0,0.31,3.0,0.0,0.0,0.0,0.0,0.62,0.0,0.24,0.32,18.2,2.0,0.88,0.0,0.18,8.0,0.06,1.87,0.0,0.45,2.0,0.0,0.05,0.0,0.0,0.43,0.0,0.0,45.92,12.0,0.22,10.0,0.64,0.0,3.19,0.5,44.13
4.0,13.65,0.0,0.93,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.45,5.0,0.93,20.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,2.0,0.0,0.0,0.73,3.0,0.39,0.0,0.26,0.9,2.0,3.43,0.33,1.0,3.0,1.63,1.52,1.0,4.04,0.0,0.0,6.65,0.67,2.0,0.0,0.0,0.18,0.41,0.0,5.0,0.0,0.22,0.0,0.0,0.25,0.0,0.0,0.0,0.0,2.69,0.84,0.0,0.45,6.01,5.0,0.67,0.68,0.35,1.17,0.0,7.0,0.0,0.0,6.0,0.0,0.0,1.0,0.75,0.0,0.0,0.0,0.68,0.0,2.35,0.0,2.0,0.0,0.0,0.0,1.0,10.0,0.0,0.31,3.0,0.0,0.0,0.0,0.0,0.62,0.0,0.24,0.32,18.2,2.0,0.88,0.0,0.18,8.0,0.06,1.87,0.0,0.45,2.0,0.0,0.05,0.0,0.0,0.43,0.0,0.0,45.92,12.0,0.22,10.0,0.64,0.0,3.19,0.5,44.13
5.0,13.65,0.0,0.93,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.45,5.0,0.93,20.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,2.0,0.0,0.0,0.73,3.0,0.39,0.0,0.26,0.9,2.0,3.43,0.33,1.0,3.0,1.63,1.52,1.0,4.04,0.0,0.0,6.65,0.67,2.0,0.0,0.0,0.18,0.41,0.0,5.0,0.0,0.22,0.0,0.0,0.25,0.0,0.0,0.0,0.0,2.69,0.84,0.0,0.45,6.01,5.0,0.67,0.68,0.35,1.17,0.0,7.0,0.0,0.0,6.0,0.0,0.0,1.0,0.75,0.0,0.0,0.0,0.68,0.0,2.35,0.0,2.0,0.0,0.0,0.0,1.0,10.0,0.0,0.31,3.0,0.0,0.0,0.0,0.0,0.62,0.0,0.24,0.32,18.2,2.0,0.88,0.0,0.18,8.0,0.06,1.87,0.0,0.45,2.0,0.0,0.05,0.0,0.0,0.43,0.0,0.0,45.92,12.0,0.22,10.0,0.64,0.0,3.19,0.5,44.13
6.0,13.65,0.0,0.93,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.45,5.0,0.93,20.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,2.0,0.0,0.0,0.73,3.0,0.39,0.0,0.26,0.9,2.0,3.43,0.33,1.0,3.0,1.63,1.52,1.0,4.04,0.0,0.0,6.65,0.67,2.0,0.0,0.0,0.18,0.41,0.0,5.0,0.0,0.22,0.0,0.0,0.25,0.0,0.0,0.0,0.0,2.69,0.84,0.0,0.45,6.01,5.0,0.67,0.68,0.35,1.17,0.0,7.0,0.0,0.0,6.0,0.0,0.0,1.0,0.75,0.0,0.0,0.0,0.68,0.0,2.35,0.0,2.0,0.0,0.0,0.0,1.0,10.0,0.0,0.31,3.0,0.0,0.0,0.0,0.0,0.62,0.0,0.24,0.32,18.2,2.0,0.88,0.0,0.18,8.0,0.06,1.87,0.0,0.45,2.0,0.0,0.05,0.0,0.0,0.43,0.0,0.0,45.92,12.0,0.22,10.0,0.64,0.0,3.19,0.5,44.13
7.0,13.65,0.0,0.93,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.45,5.0,0.93,20.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,2.0,0.0,0.0,0.73,3.0,0.39,0.0,0.26,0.9,2.0,3.43,0.33,1.0,3.0,1.63,1.52,1.0,4.04,0.0,0.0,6.65,0.67,2.0,0.0,0.0,0.18,0.41,0.0,5.0,0.0,0.22,0.0,0.0,0.25,0.0,0.0,0.0,0.0,2.69,0.84,0.0,0.45,6.01,5.0,0.67,0.68,0.35,1.17,0.0,7.0,0.0,0.0,6.0,0.0,0.0,1.0,0.75,0.0,0.0,0.0,0.68,0.0,2.35,0.0,2.0,0.0,0.0,0.0,1.0,10.0,0.0,0.31,3.0,0.0,0.0,0.0,0.0,0.62,0.0,0.24,0.32,18.2,2.0,0.88,0.0,0.18,8.0,0.06,1.87,0.0,0.45,2.0,0.0,0.05,0.0,0.0,0.43,0.0,0.0,45.92,12.0,0.22,10.0,0.64,0.0,3.19,0.5,44.13
8.0,13.65,0.0,0.93,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.45,5.0,0.93,20.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,2.0,0.0,0.0,0.73,3.0,0.39,0.0,0.26,0.9,2.0,3.43,0.33,1.0,3.0,1.63,1.52,1.0,4.04,0.0,0.0,6.65,0.67,2.0,0.0,0.0,0.18,0.41,0.0,5.0,0.0,0.22,0.0,0.0,0.25,0.0,0.0,0.0,0.0,2.69,0.84,0.0,0.45,6.01,5.0,0.67,0.68,0.35,1.17,0.0,7.0,0.0,0.0,6.0,0.0,0.0,1.0,0.75,0.0,0.0,0.0,0.68,0.0,2.35,0.0,2.0,0.0,0.0,0.0,1.0,10.0,0.0,0.31,3.0,0.0,0.0,0.0,0.0,0.62,0.0,0.24,0.32,18.2,2.0,0.88,0.0,0.18,8.0,0.06,1.87,0.0,0.45,2.0,0.0,0.05,0.0,0.0,0.43,0.0,0.0,45.92,12.0,0.22,10.0,0.64,0.0,3.19,0.5,44.13
9.0,13.65,0.0,0.93,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.45,5.0,0.93,20.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,2.0,0.0,0.0,0.73,3.0,0.39,0.0,0.26,0.9,2.0,3.43,0.33,1.0,3.0,1.63,1.52,1.0,4.04,0.0,0.0,6.65,0.67,2.0,0.0,0.0,0.18,0.41,0.0,5.0,0.0,0.22,0.0,0.0,0.25,0.0,0.0,0.0,0.0,2.69,0.84,0.0,0.45,6.01,5.0,0.67,0.68,0.35,1.17,0.0,7.0,0.0,0.0,6.0,0.0,0.0,1.0,0.75,0.0,0.0,0.0,0.68,0.0,2.35,0.0,2.0,0.0,0.0,0.0,1.0,10.0,0.0,0.31,3.0,0.0,0.0,0.0,0.0,0.62,0.0,0.24,0.32,18.2,2.0,0.88,0.0,0.18,8.0,0.06,1.87,0.0,0.45,2.0,0.0,0.05,0.0,0.0,0.43,0.0,0.0,45.92,12.0,0.22,10.0,0.64,0.0,3.19,0.5,44.13
